adult_item,alcohol_item,bean_item,berry_item,beverage_item,butter_item,category_sell_at_fish_shop,category_sell_at_pierres_and_marnies,cheese_item,chili_item,cloth_item,coffee_beans,coffee_item,color_aqua,color_black,color_blue,color_brown,color_copper,color_cyan,color_dark_blue,color_dark_brown,color_dark_cyan,color_dark_gray,color_dark_green,color_dark_orange,color_dark_pink,color_dark_purple,color_dark_red,color_dark_yellow,color_gold,color_gray,color_green,color_iridium,color_iron,color_jade,color_light_cyan,color_lime,color_orange,color_pale_violet_red,color_pink,color_poppyseed,color_prismatic,color_purple,color_red,color_salmon,color_sand,color_sea_green,color_white,color_yellow,color_yellow_green,crafting_pouch,crushed_item,edible_flower_item,edible_mushroom_item,elixir_item,extract_item,feather_item,flour_item,flower_petals,food_breakfast,forage item,forage_item,forage_item_beach,forage_item_desert,grain_item,ground_item,herb_item,honey_item,ice_cream,jelly_item,juice_item,kombucha_item,leafy_green_item,live_culture,malt_item,mayo_item,milk_item,mushroom_item,mythic_honey,nectar_item,nut_butter_item,nut_item,nut_milk_itemplant_milk_item,oil_item,paste_item,perfume_item,pickles_item,plant_milk_item,poison_honey,poisonous_item,puree_item,raffadax_ale_item,raffadax_artisan_object,raffadax_baking_component,raffadax_beach_forage,raffadax_beverage,raffadax_brandy,raffadax_cannabis_item,raffadax_cheese,raffadax_cider,raffadax_cloth_item,raffadax_coffee,raffadax_cooked_object,raffadax_cooking,raffadax_cooking_component,raffadax_crafted_object,raffadax_crops_object,raffadax_distillation,raffadax_divine_item,raffadax_divine_wine,raffadax_dried_item,raffadax_drink_mix,raffadax_enchanted_item,raffadax_extract,raffadax_flow_honey,raffadax_food_item,raffadax_fragrance,raffadax_fruittrees_object,raffadax_gem,raffadax_humidor,raffadax_juice_item,raffadax_kiln_item,raffadax_kombucha,raffadax_liquor,raffadax_mayonnaise,raffadax_mead,raffadax_mead_balsam,raffadax_mead_midus,raffadax_milk_item,raffadax_milled_item,raffadax_mythic_item,raffadax_nature_forage,raffadax_object,raffadax_oil_item,raffadax_pickles,raffadax_port_mead,raffadax_port_wine,raffadax_preserves,raffadax_production_component,raffadax_puree,raffadax_resources,raffadax_soda,raffadax_spar,raffadax_sparkling_mead,raffadax_sparkling_wine,raffadax_syrup,raffadax_tea,raffadax_tea_leaf,raffadax_trash,raffadax_treasure,raffadax_wine,root_vegetable_item,salad_dressing,sauce_item,seasoning_mix,soda_item,spice_item,sugar_item,syrup_item,tea_item,tea_leaf,vinegar_item,zest_item
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phoenix Feather ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Opuntia Powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phoenix Mead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Opuntia Puree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phoenix Tears,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Opuntia Tea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pickled Acorns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Opuntia Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pickled Adzuki Beans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orangeade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pickled Agave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orange Bell Pepper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pickled Allium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orange Bell Pepper Juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pickled Almonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orange Bitters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pickled Aloe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orange Brandy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pickled Amaranth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orange Carrot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pickled Artichoke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orange Crash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pickled Asparagus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orange Curd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pickled Avocado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orange Extract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pickled Baby Corn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orange Jam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pickled Beets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orange Jelly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pickled Black Beans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orange Juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pickled Black Bell Pepper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orange Liqueur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pickled Black Carrots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orange Marmalade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pickled Black Garlic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orange Milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pickled Black Olives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orange Port Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pickled Black Walnuts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orange Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pickled Blue Corn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orange Zest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pickled Blue Potatoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oregano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pickled Bok Choy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oregano Extract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pickled Brazil Nuts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oregano Flakes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pickled Broccoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oregano Jelly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pickled Brussels Sprouts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oregano Kombucha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pickled Cabbage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oregano Liqueur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pickled Caper Berries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oregano Powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pickled Caper Leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oregano Tea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pickled Capers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orgeat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pickled Caraway Root,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orisha Mead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pickled Carrots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Osmanthus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pickled Cashews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Osmanthus Balsam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pickled Cassava Leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Osmanthus Brandy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pickled Cauliflower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Osmanthus Florets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pickled Cave Carrots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Osmanthus Flower Puree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pickled Cayenne Peppers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Osmanthus Honey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pickled Celery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Osmanthus Honey Jelly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pickled Chestnuts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Osmanthus Jam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pickled Chicory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Osmanthus Jelly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pickled Chicory Root,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Osmanthus Kombucha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pickled Chipotle Peppers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Osmanthus Liqueur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pickled Chives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Osmanthus Mead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pickled Corn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Osmanthus Nectar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pickled Cucumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Osmanthus Port Mead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pickled Dandelion Greens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Osmanthus Port Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pickled Dandelion Root,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Osmanthus Preserves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pickled Dinosaur Eggs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Osmanthus Tea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pickled Duck Eggs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Osmanthus Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pickled Edamame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Osmanthus Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pickled Eggplant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ourania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pickled Eggs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ouzo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pickled Fennel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P. camemberti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pickled Fennel Greens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P. candidum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pickled Fiddlehead Fern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P. freudenreichii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pickled Fish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P. glaucum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pickled Garbanzo Beans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P. roqueforti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pickled Garlic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P. rubens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pickled Gentian Root,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P. shermanii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pickled Ginger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Allspice ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pickled Glass Gem Corn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fennel Pollen ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pickled Golden Cauliflower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Juniper ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pickled Golden Eggs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mace ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pickled Grape Leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nutmeg  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pickled Grapes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saffron ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pickled Green Beans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sumac ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pickled Green Bell Pepper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Palm Heart Juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pickled Green Leaf Lettuce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Palm Oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pickled Green Onions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pamplemousse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
